valid,reasons,warnings,metrics,filename
True,[],[],"{'snr': 19.44244623184204, 'consistency': 0.37326788902282715, 'flatness': 0.015779743}",20daysofjune_audio_part1_dominant.wav
True,[],['Low SNR 14.8dB'],"{'snr': 14.756581783294678, 'consistency': 0.399964302778244, 'flatness': 0.02148652}",agentofdoubt_audio_part1_dominant.wav
True,[],[],"{'snr': 21.947121620178223, 'consistency': 0.42918816208839417, 'flatness': 0.028023}",alexis_clear_audio_part1_dominant.wav
False,['Consistency 0.24'],[],"{'snr': 26.069841384887695, 'consistency': 0.24467219412326813, 'flatness': 0.037200008}",apastelwitch_audio_part1_dominant.wav
True,[],[],"{'snr': 18.563942909240723, 'consistency': 0.39939892292022705, 'flatness': 0.019231208}",arabiandalal_audio_part1_dominant.wav
True,[],[],"{'snr': 17.56151795387268, 'consistency': 0.4378144145011902, 'flatness': 0.026701963}",bartholomewopl_audio_part1_dominant.wav
True,[],[],"{'snr': 17.72510528564453, 'consistency': 0.45232096314430237, 'flatness': 0.027473602}",bartholomewopl_audio_part2_dominant.wav
False,['Consistency 0.17'],[],"{'snr': 23.45709800720215, 'consistency': 0.16521744430065155, 'flatness': 0.030895226}",blondiettv_audio_part1_dominant.wav
True,[],[],"{'snr': 21.717748641967773, 'consistency': 0.3354634940624237, 'flatness': 0.042963304}",caninehybrid_audio_part1_dominant.wav
True,[],[],"{'snr': 21.354539394378662, 'consistency': 0.3919857144355774, 'flatness': 0.023999674}",capngalaguthrun_audio_part1_dominant.wav
True,[],[],"{'snr': 17.964645624160767, 'consistency': 0.429685115814209, 'flatness': 0.03363151}",dawahaddict_audio_part1_dominant.wav
False,['Consistency 0.23'],[],"{'snr': 19.334089756011963, 'consistency': 0.2346487194299698, 'flatness': 0.042188}",dorkerific_audio_part1_dominant.wav
True,[],[],"{'snr': 20.896689891815186, 'consistency': 0.3631255328655243, 'flatness': 0.014304723}",elysiagriffin_audio_part1_dominant.wav
True,[],[],"{'snr': 21.342077255249023, 'consistency': 0.26817426085472107, 'flatness': 0.021251965}",foxtrot44_audio_part1_dominant.wav
True,[],[],"{'snr': 18.48687171936035, 'consistency': 0.37656569480895996, 'flatness': 0.017381744}",hermesthenerd_audio_part1_dominant.wav
True,[],[],"{'snr': 18.820713758468628, 'consistency': 0.33650004863739014, 'flatness': 0.017206656}",hermesthenerd_audio_part2_dominant.wav
False,['Consistency 0.22'],[],"{'snr': 15.700691938400269, 'consistency': 0.21630071103572845, 'flatness': 0.023210792}",icre8nrg_audio_part1_dominant.wav
True,[],[],"{'snr': 22.373409271240234, 'consistency': 0.45577093958854675, 'flatness': 0.03635468}",ikkisoma_audio_part1_dominant.wav
True,[],[],"{'snr': 22.540283203125, 'consistency': 0.46380099654197693, 'flatness': 0.040278245}",ikkisoma_audio_part2_dominant.wav
True,[],[],"{'snr': 20.731687545776367, 'consistency': 0.4229689836502075, 'flatness': 0.01571632}",imcantonio_audio_part1_dominant.wav
